nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
FISICA III,1,5,5,0,0
FISICA III,1,5,1,4,0
ESTADISTICA Y PROBABILIDADES,1,7,2,4,1
ORGANIZACION DE ARCHIVOS,1,9,9,0,0
TOPICO  II,1,9,9,0,0
BASE DE DATOS MULTIDIMENSIONALES Y HERRAMIENTAS OLAP,1,9,9,0,0
TOPICO  III,1,9,9,0,0
CIBERNETICA ORGANIZACIONAL,1,9,9,0,0
TOPICO  IV,1,9,9,0,0
TECNICAS DE REALIDAD VIRTUAL,1,9,9,0,0
LOGICO MATEMATICA,1,9,9,0,0
AMBIENTES DE APRENDIZAJES APOYADOS EN T.I.,1,10,10,0,0
TOPICO  III,1,11,11,0,0
BASE DE DATOS MULTIDIMENSIONALES Y HERRAMIENTAS OLAP,1,11,11,0,0
TOPICO  IV,1,11,10,1,0
TECNICAS DE REALIDAD VIRTUAL,1,11,11,0,0
MATEMATICAS I,1,12,12,0,0
SISTEMAS OPERATIVOS,1,12,12,0,0
TOPICO  II,1,12,12,0,0
CIBERNETICA ORGANIZACIONAL,1,12,12,0,0
TOPICO  III,1,12,12,0,0
TOPICO  I,1,12,9,3,0
TOPICO  IV,1,12,12,0,0
AMBIENTES DE APRENDIZAJES APOYADOS EN T.I.,1,12,10,2,0
PROYECTOS DE INVERSION EN T.I.,1,12,12,0,0
TOPICO  II,1,13,13,0,0
TOPICO  I,1,14,12,1,1
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,14,14,0,0
ARQUITECTURA DE COMPUTADORAS,1,15,14,1,0
DERECHO EMPRESARIAL INFORMATICO,1,15,15,0,0
TOPICO  I,1,15,13,1,1
PROYECTOS DE INVERSION EN T.I.,1,15,15,0,0
GESTION FINANCIERA BASADA EN T.I.,1,15,15,0,0
TOPICO  IV,1,15,15,0,0
TOPICO  I,1,15,15,0,0
TOPICO  II,1,15,15,0,0
TECNOLOGIA DE OBJETOS,1,16,15,1,0
ALGORITMOS Y ESTRUCTURA DE DATOS,2,16,13,2,1
GESTION FINANCIERA BASADA EN T.I.,1,16,16,0,0
GESTION FINANCIERA BASADA EN T.I.,1,16,16,0,0
TOPICO  III,1,16,16,0,0
CALCULO INTEGRAL,1,16,0,0,0
TELEPROCESO,1,17,16,0,1
COSTOS Y PRESUPUESTOS,1,17,16,0,1
INGENIERIA ECONOMICA,1,17,17,0,0
TOPICO  II,1,17,17,0,0
TOPICO  III,1,17,16,0,1
TOPICO  IV,1,17,0,0,0
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,18,18,0,0
DERECHO EMPRESARIAL INFORMATICO,1,18,15,3,0
INTELIGENCIA ARTIFICIAL,1,19,19,0,0
ORGANIZACION DE ARCHIVOS,1,19,19,0,0
REDES DE COMUNICACION,1,19,19,0,0
LEGISLACION,1,19,19,0,0
DERECHO EMPRESARIAL INFORMATICO,1,19,19,0,0
TOPICO  I,1,19,18,0,1
PROYECTOS DE INVERSION EN T.I.,1,19,19,0,0
GESTION FINANCIERA BASADA EN T.I.,1,19,18,1,0
MICROCOMPUTACION IV,1,20,20,0,0
ARQUITECTURA DE COMPUTADORAS,1,20,20,0,0
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,20,20,0,0
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,20,20,0,0
TOPICO  IV,1,20,18,1,1
DERECHO EMPRESARIAL INFORMATICO,1,20,19,0,1
PROYECTOS DE INVERSION EN T.I.,1,20,0,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,21,20,0,1
SIMULACION,1,21,19,0,2
TALLER DE INGENIERIA DE INFORMACION,1,21,20,0,1
ADMINISTRACION DE CENTROS DE INFORMACION,1,21,20,1,0
PSICOLOGIA ORGANIZACIONAL,1,21,21,0,0
PROYECTOS DE INVERSION EN T.I.,1,21,21,0,0
TOPICO  I,1,21,21,0,0
TOPICO  II,1,21,0,0,0
METODOLOGIA DE SISTEMAS,1,22,22,0,0
LEGISLACION,1,22,22,0,0
CONTABILIDAD GENERAL,1,22,21,1,0
ORGANIZACION Y METODOS,1,22,21,0,1
INGENIERIA DE INFORMACION,1,22,22,0,0
TOPICO  III,1,22,21,1,0
INVESTIGACION DE OPERACIONES I,1,22,0,0,0
SISTEMAS DE INFORMACION II,1,23,23,0,0
COMUNICACION DE DATOS,1,23,20,3,0
TOPICO  I,1,23,23,0,0
TOPICO  II,1,23,23,0,0
BIOINFORMATICA,1,23,23,0,0
DERECHO EMPRESARIAL INFORMATICO,1,23,0,0,0
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,23,0,0,0
METODOLOGIA DE SISTEMAS,1,24,24,0,0
REDES DE COMUNICACION,1,24,23,1,0
REINGENIERIA,1,24,18,4,2
ORGANIZACION DE ARCHIVOS,1,24,23,0,1
LOGICO MATEMATICA,2,24,24,0,0
TENDENCIAS TECNOLOGICAS,1,24,21,3,0
GESTION FINANCIERA BASADA EN T.I.,1,24,21,0,3
AUDITORIA DE SISTEMAS,1,25,22,2,1
ADMINISTRACION DE CENTROS DE INFORMACION,1,25,25,0,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,25,21,3,1
ORGANIZACION DE ARCHIVOS,1,25,25,0,0
TEORIA DE COMPILADORES,1,25,25,0,0
MATEMATICA III,1,25,18,2,5
INGENIERIA DE INFORMACION,1,25,24,0,1
TALLER DE INGENIERIA DE INFORMACION,1,25,25,0,0
SISTEMAS DIGITALES,1,25,13,12,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,2,25,19,3,3
LEGISLACION,1,25,24,1,0
SEMINARIO DE TESIS  I,1,25,25,0,0
TELECOMUNICACIONES,1,25,25,0,0
AUDITORIA DE SISTEMAS,1,25,25,0,0
TELECOMUNICACIONES,1,25,25,0,0
TECNOLOGIA DE OBJETOS,1,26,21,5,0
METODOS NUMERICOS,1,26,22,3,1
DISEÑO Y EVALUACION DE PROYECTOS,1,26,23,2,1
TEORIA DE COMPILADORES,1,26,26,0,0
INGENIERIA DE SOFTWARE,1,26,24,0,2
AUDITORIA DE SISTEMAS,1,26,25,0,1
DISEÑO Y EVALUACION DE PROYECTOS,1,26,26,0,0
REINGENIERIA,1,26,22,1,3
ARQUITECTURA DE COMPUTADORAS,1,26,25,1,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,26,26,0,0
SIMULACION DE SISTEMAS,1,26,23,3,0
REDES INFORMATICAS EMPRESARIALES  II,1,26,22,4,0
SEMINARIO DE TESIS  II,1,26,26,0,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,26,21,1,4
REDES INFORMATICAS EMPRESARIALES I,1,26,26,0,0
SISTEMAS DE INFORMACION   I,1,27,27,0,0
ORGANIZACION DE ARCHIVOS,1,27,27,0,0
SISTEMAS DE INFORMACION II,1,27,25,2,0
SISTEMAS OPERATIVOS,1,27,27,0,0
LEGISLACION,1,27,25,0,2
SISTEMAS DIGITALES,1,27,26,1,0
REDES DE COMUNICACION,1,27,26,1,0
ELECTRONICA I,1,27,25,2,0
BASE DE DATOS,2,27,15,12,0
INVESTIGACION DE OPERACIONES I,1,27,26,1,0
INGENIERIA DE SOFTWARE,1,27,27,0,0
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,27,25,2,0
SEGURIDAD INFORMATICA,1,27,27,0,0
DERECHO EMPRESARIAL INFORMATICO,1,27,25,0,2
GESTION EMPRESARIAL DE SISTEMAS,1,27,24,1,2
TECNOLOGIA DE OBJETOS,1,28,27,1,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,28,24,3,1
LENGUAJE DE MAQUINA,1,28,24,1,3
REDES DE COMUNICACION,1,28,26,0,2
INTELIGENCIA ARTIFICIAL,1,28,28,0,0
ALGORITMOS Y ESTRUCTURA DE DATOS,1,28,22,2,4
SISTEMAS DIGITALES,1,28,22,6,0
